型号,价格,评分,图片链接
vivo X300 Pro（12GB+256GB）,￥5299,10.0,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/00/08/ChMkLWjtDTOIO2AlAAAPg5dDKeIAAFDBAJwY-YAAA-b912.jpg
iQOO 15(12GB/256GB),￥4199,10.0,https://i5-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/05/04/ChMkLWj2NW2IBd1pAAAQ5EJj5kwAAFV-QJ1i2UAABD8005.jpg
HUAWEI Mate 70(12GB/512GB),￥5999,9.9,https://i4-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/02/04/ChMkLWjwkF6IQYDIAAAPZA0YrxcAAFJ5ANbZGwAAA98214.jpg
OPPO Find X9(12GB/256GB),￥4399,10.0,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/02/0A/ChMkLWjxBhKIFzTqAAAQfHfJwzUAAFLWwEiuEsAABCU392.jpg
苹果iPhone 17 Pro（256GB）,￥8999,9.9,https://i3-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/09/04/ChMkLWjA7XiIW5lkAAAPx3Vt3asAADmHgARKG4AAA_f133.jpg
OPPO Reno15(12GB/256GB),￥2999,10.0,https://i3-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/06/0A/ChMkLWkbK_OIZzzaAAAOM2U8hzsAAGbXwKQM3sAAA5L819.jpg
苹果iPhone 17（256GB）,￥5999,10.0,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/09/04/ChMkLWjA6d-Ia-oQAAAMb7h2zs4AADmGAP0GCQAAAyH028.jpg
小米17 Pro Max（12GB/512GB）,￥5999,10.0,https://2d.zol-img.com.cn/product_small/30_80x60/575/ceSu3EsaiAkCo.jpg
华为Mate 70 Air(12GB/256GB),￥4199,10.0,https://i1-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/00/0D/ChMkLWkMZjeIWPv3AAAMAeu5B7kAAGD_AHliFMAAAwZ007.jpg
荣耀Magic8(12GB/256GB),￥4499,10.0,https://i1-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/01/0E/ChMkLWjvplCIU_BDAAALNeShnVQAAFIXwBd2mQAAAtN007.jpg
一加15（12GB/256GB）,￥3999,9.8,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/0A/01/ChMkLWj_gnCIWDwVAAASJ2oyjz8AAFpJgNeVU0AABI_552.jpg
HUAWEI Mate 70 Pro(12GB/512GB),￥6999,9.9,https://i5-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/02/04/ChMkLWjwkI2IQAeuAAAQQswGn9QAAFJ5QDIX8UAABBa965.jpg
OPPO Find X9 Pro(12GB/256GB),￥5299,9.9,https://i4-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/02/0A/ChMkLWjxBjKIdGvzAAAQwZgF9z4AAFLWwGMZ0IAABDZ924.jpg
一加Ace 6(12GB/256GB),￥2599,10.0,https://i3-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/0A/01/ChMkLWj_gdaIa38oAAAQO1GBHVAAAFpJgDmNDwAABBT283.jpg
vivo Y500(8GB/128GB),￥1399,9.9,https://i3-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/03/08/ChMkLWi1mLiId7vLAAAPdZQElsEAADPMAFmfMYAAA-N633.jpg
荣耀X70(8GB/128GB),￥1399,9.8,https://i0-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/06/02/ChMkLWkXNJSIaJy4AAALNUCvZ54AAGZSQOa-gUAAAtN546.jpg
iQOO Neo11(12GB/256GB),￥2599,9.5,https://i1-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/0C/03/ChMkLWkDZ6uIbPUPAAAQFsxS6AMAAFxkgNlEskAABAu837.jpg
vivo X300(12GB/256GB),￥4399,10.0,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/02/0A/ChMkLWjw_lyIaT1UAAAO9-R8SyAAAFLVAKDP9gAAA8P262.jpg
苹果iPhone 17 Pro Max（256GB）,￥9999,10.0,https://i1-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/09/04/ChMkLWjA7QCIRNqmAAAO0eShqWsAADmHQI9oj4AAA7p601.jpg
Redmi K90(12GB/256GB),￥2599,9.9,https://i0-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/07/05/ChMkLWj6IOaIYzYJAAAOQuU9eUAAAFeHAP_6FQAAA5a540.jpg
苹果iPhone 16 Pro（128GB）,￥7999,9.8,https://i0-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/0A/0E/ChMkLWjD6M-IcCE-AAAKrAAXnQ4AADspQP_834AAArE710.jpg
苹果iPhone 16 Pro Max（256GB）,￥9999,9.7,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/0A/0F/ChMkLWjD-8qIGCqLAAAP5YBWGcEAADs5gKFtoQAAA_9692.jpg
HUAWEI Mate 70 Pro+(16GB/512GB),￥8499,9.9,https://i1-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/02/04/ChMkLWjwkLOIFvudAAARG5Wo2QoAAFJ5QG5AigAABEz577.jpg
小米17(12GB/256GB),￥4499,9.9,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/04/0A/ChMkLWjVXLCIKJa3AAAQ77GCCXEAAETdgKgIukAABEH552.jpg
OPPO Reno15 Pro(12GB+256GB),￥3699,10.0,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/06/0A/ChMkLWkbLBiIF1kRAAAODRdpQwcAAGbXwK7IiEAAA4l708.jpg
OPPO Reno14(12GB/256GB),￥2799,9.8,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g7/M00/0F/0C/ChMkK2gy3XGIVcKQAAAPIR2CUjMAAsz0QInJ_0AAA85122.jpg
一加13（12GB/256GB）,￥4499,9.9,https://i3-prosmall-fd.zol-img.com.cn/t_s80x60/g7/M00/00/0D/ChMkLGcjUtuIFfMmAAAQZ0_IwaIAAlDggErIngAABB_289.jpg
荣耀400(12GB/256GB),￥2499,9.9,https://i0-prosmall-fd.zol-img.com.cn/t_s80x60/g7/M00/01/0F/ChMkK2g3Gd-IP27pAAAPwiTWa5YAAs8kACbjgoAAA_a560.jpg
荣耀Magic8 Pro(12GB/256GB),￥5699,10.0,https://2c.zol-img.com.cn/product_small/30_80x60/640/ce6948xXsWZ6.jpg
三星Galaxy S25 Ultra(12GB/256GB),￥10199,9.9,https://i1-prosmall-fd.zol-img.com.cn/t_s80x60/g7/M00/05/06/ChMkK2eRvk-IKIymAAAM6InbjVAAAoLhgLF6jgAAA0A797.jpg
荣耀Magic7(12GB/256GB),￥4499,9.9,https://i5-prosmall-fd.zol-img.com.cn/t_s80x60/g7/M00/00/04/ChMkK2ciN3WIdvVeAAANQDjNkMgAAlBZgPOq3gAAA1Y155.jpg
华为Mate 70 Air(12GB/512GB),￥4699,10.0,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/00/0D/ChMkLWkMZjiIV5GZAAAMAeu5B7kAAGD_AHqCnoAAAwZ962.jpg
荣耀400 Pro(12GB/256GB),￥3399,9.9,https://i5-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/02/04/ChMkLWjwkSWIUVcrAAAQHJQNsbYAAFJ5wP7X_MAABA0505.jpg
Redmi K90 Pro Max(12GB/256GB),￥3999,10.0,https://i0-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/07/06/ChMkLWj6PXuIOKOeAAAOshL6IrwAAFeYgHymJIAAA7K106.jpg
Redmi Turbo 4 Pro(12GB/256GB),￥1999,9.8,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g7/M00/0C/02/ChMkK2gKMVSIFtSeAAAN-RsDw2AAArlpgKAlbcAAA4R652.jpg
真我GT8 Pro（12GB/256GB）,￥3999,10.0,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/06/05/ChMkLWj4b6yIcWL4AAAMIxlD9VoAAFaNwEkYqMAAAw7912.jpg
苹果iPhone Air（256GB）,￥7999,10.0,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/09/04/ChMkLWjA6OuINwV_AAAKTpVyQBIAADmGAD8MqsAAApm132.jpg
华为nova 14（256GB）,￥2699,9.2,https://2e.zol-img.com.cn/product_small/30_80x60/582/cer3tA97l526g.jpg
OPPO Reno14 Pro(12GB/256GB),￥3449,9.7,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g7/M00/09/02/ChMkK2glvsmIcY12AAAPfvut9f8AAsZQAGq6roAAA-W892.jpg
HUAWEI Mate 60 Pro（12GB/256GB）,￥6499,9.7,https://i1-prosmall-fd.zol-img.com.cn/t_s80x60/g7/M00/0E/0C/ChMkLGUp_OmIUA6nAAASyWto30QAAV5hgEtp0MAABLh327.jpg
魅族22（12GB/256GB）,￥2999,9.9,https://i1-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/0C/0E/ChMkLWjH7p2IOqDhAAANRj6iA6AAAD0ngCsKWgAAA1e081.jpg
Redmi K80至尊版(12GB/256GB),￥2599,9.9,https://i0-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/05/0A/ChMkLWhdXpuIIYPtAAANuw_3AwIAAAWeQHfgywAAA3T880.jpg
苹果iPhone 16（128GB）,￥5999,9.7,https://i3-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/0A/0E/ChMkLWjD7GCIMx5KAAAOw-zTD5IAADsvQNmvzgAAA7b019.jpg
HUAWEI Mate X6(12GB/512GB),￥13999,10.0,https://2d.zol-img.com.cn/product_small/30_80x60/321/ceLDpaM2uBHa6.jpg
荣耀500 Pro(12GB/256GB),￥3599,10.0,https://i5-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/08/00/ChMkLWkkWhmIf7-QAAAJATE-4mMAAGgxADL9kwAAAkZ915.jpg
努比亚Z80 Ultra(12GB/512GB),￥4999,9.3,https://i1-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/06/07/ChMkLWj4maGIYt8rAAAOyUpzdzEAAFawAJWUEYAAA7h807.jpg
OPPO K13s（8GB/256GB）,￥1399,9.9,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/06/09/ChMkLWj4uceIPbvRAAAQuQYXYkEAAFbHwCV2SYAABDR032.jpg
vivo S30(12GB/256GB),￥2699,9.9,https://i5-prosmall-fd.zol-img.com.cn/t_s80x60/g7/M00/02/0A/ChMkK2g4VWCIRhGlAAANI3_WKmkAAs_JwP_4-wAAA07785.jpg
华为Pura 80(12GB/256GB),￥4699,9.7,https://i1-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/0A/03/ChMkLWiDnO-IWn_QAAANHuQEdhgAABqRgG4Mq4AAA02571.jpg
华为Pura 80 Pro(12GB/256GB),￥6499,9.6,https://i1-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/0E/00/ChMkLWhvbCiIOTc6AAALMdkmt-YAAA32AJlq9sAAAtJ051.jpg
